$\theta$,,0.5,,,,,,,,,0.99,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.95, 0.83, 0.02, 0.95, 0.97, 0.15, 0.97, 0.98, 0.25, 0.87, 0.32, 0.0, 0.68, 0.59, 0.0, 0.86, 0.85, 0.0, 
MNIST ERAN, MNIST_9_100,0.93, 0.91, 0.06, 0.95, 0.97, 0.24, 0.99, 1.0, 0.23, 0.79, 0.41, 0.0, 0.71, 0.67, 0.0, 0.94, 0.94, 0.07, 
MNIST ERAN, MNIST_CONV_BIG,0.87, 0.9, 1.0, 0.67, 0.51, 0.19, 0.81, 0.92, 0.68, 0.07, 0.0, 0.0, 0.53, 0.0, 0.0, 0.18, 0.0, 0.0, 
MNIST ERAN, MNIST_CONV_SMALL,0.82, 1.0, 0.2, 0.76, 0.47, 0.11, 0.79, 0.23, 0.04, 0.82, 1.0, 0.2, 0.69, 0.0, 0.0, 0.77, 0.0, 0.0, 
CIFAR 10, CIFAR_RESNET_2B,0.85, 0.94, 0.37, 0.93, 0.96, 0.18, -,-,-,0.38, 0.13, 0.0, 0.36, 0.19, 0.0, -,-,-,
CIFAR 10, MARABOU,0.97, 0.98, 0.27, 0.96, 0.99, 0.8, 0.97, 0.99, 0.63, 0.9, 0.9, 0.0, 0.4, 0.38, 0.2, 0.64, 0.63, 0.0, 
CIFAR 10, OVAL21,0.95, 0.97, 0.15, 0.94, 0.97, 0.3, 0.91, 0.97, 0.37, 0.58, 0.49, 0.03, 0.6, 0.55, 0.0, 0.54, 0.44, 0.0, 
CIFAR 10, VIT,0.97, 0.99, 0.25, -,-,-,-,-,-,0.74, 0.72, 0.0, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.96, 0.97, 0.13, 0.98, 0.99, 0.14, -,-,-,0.84, 0.81, 0.02, 0.84, 0.83, 0.0, -,-,-,
LARGE RESNET, CIFAR_100,0.9, 0.96, 0.26, 0.83, 0.9, 0.28, -,-,-,0.45, 0.22, 0.0, 0.39, 0.02, 0.0, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.83, 0.87, 0.25, 0.88, 0.78, 0.07, -,-,-,0.41, 0.01, 0.0, 0.68, 0.0, 0.0, -,-,-,
