$\theta$,,0.5,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.95, 1.0, 0.08, 0.77, 1.0, 1.0, 0.98, 1.0, 0.41, 
MNIST ERAN, MNIST_9_100,0.94, 1.0, 0.15, 0.87, 1.0, 1.0, 0.99, 1.0, 0.33, 
MNIST ERAN, MNIST_CONV_BIG,0.8, 0.9, 0.3, 0.85, 0.97, 0.2, 0.84, 0.97, 0.53, 
MNIST ERAN, MNIST_CONV_SMALL,0.99, 1.0, 0.01, 0.75, 0.9, 0.31, 0.86, 0.93, 0.16, 
CIFAR 10, CIFAR_RESNET_2B,0.92, 1.0, 0.12, 0.76, 1.0, 1.0, -,-,-,
CIFAR 10, MARABOU,0.99, 1.0, 0.3, 0.95, 1.0, 1.0, 0.98, 1.0, 1.0, 
CIFAR 10, OVAL21,0.93, 1.0, 0.28, 0.87, 1.0, 0.88, 0.92, 1.0, 0.4, 
CIFAR 10, VIT,0.97, 0.99, 0.6, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.94, 1.0, 0.28, 0.93, 1.0, 0.93, -,-,-,
LARGE RESNET, CIFAR_100,0.9, 1.0, 0.36, 0.84, 1.0, 0.61, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.88, 1.0, 0.21, 0.86, 0.99, 0.2, -,-,-,
