$\theta$,,0.5,,,,,,,,,
,,$\alpha\beta$-CROWN,,,VeriNet,,,Oval,,,
Benchmark Group, Benchmark Name, Acc.,TPR,FPR, Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR,Acc.,TPR,FPR
MNIST ERAN, MNIST_6_100,0.94, 1.0, 0.07, 0.94, 0.99, 0.28, 0.98, 1.0, 0.44, 
MNIST ERAN, MNIST_9_100,0.93, 1.0, 0.1, 0.94, 1.0, 0.45, 0.99, 1.0, 0.3, 
MNIST ERAN, MNIST_CONV_BIG,0.93, 1.0, 1.0, 0.81, 0.95, 0.31, 0.86, 0.99, 0.93, 
MNIST ERAN, MNIST_CONV_SMALL,0.8, 1.0, 0.22, 0.81, 0.96, 0.25, 0.83, 0.92, 0.19, 
CIFAR 10, CIFAR_RESNET_2B,0.87, 1.0, 0.46, 0.93, 1.0, 0.32, -,-,-,
CIFAR 10, MARABOU,0.98, 1.0, 0.43, 0.96, 1.0, 0.93, 0.98, 1.0, 0.9, 
CIFAR 10, OVAL21,0.96, 1.0, 0.23, 0.95, 1.0, 0.47, 0.91, 0.99, 0.45, 
CIFAR 10, VIT,0.98, 0.99, 0.5, -,-,-,-,-,-,
CIFAR 10, SRI_RESNET_A,0.97, 1.0, 0.2, 0.98, 1.0, 0.38, -,-,-,
LARGE RESNET, CIFAR_100,0.93, 1.0, 0.33, 0.91, 1.0, 0.31, -,-,-,
LARGE RESNET, TINY_IMAGENET,0.9, 1.0, 0.34, 0.91, 0.99, 0.14, -,-,-,
